,compound,neutral,negative,positive
4007,0.34,0.904,0.045,0.052
4008,-0.6504,0.831,0.09,0.079
4009,-0.7783,0.967,0.033,0.0
4010,-0.9476,0.867,0.081,0.052
4011,-0.9167,0.893,0.086,0.021
4012,0.992,0.783,0.045,0.172
4013,0.0258,0.85,0.079,0.071
4014,-0.7695,0.811,0.123,0.065
4015,0.0258,0.831,0.089,0.08
4016,-0.9442,0.841,0.118,0.041
4017,-0.7012,0.8,0.11,0.089
4018,-0.3612,0.858,0.083,0.059
4019,0.711,0.807,0.076,0.118
4020,-0.1531,0.844,0.081,0.075
4021,0.4515,0.833,0.069,0.099
4022,0.7845,0.84,0.063,0.098
4023,-0.7003,0.916,0.068,0.016
4024,-0.3386,0.847,0.078,0.075
4025,-0.995,0.79,0.128,0.082
4026,-0.4215,0.873,0.081,0.046
4027,0.7178,0.832,0.065,0.102
4028,0.9716,0.789,0.069,0.142
4029,-0.8136,0.866,0.094,0.04
4030,-0.2023,0.869,0.073,0.058
4031,0.2656,0.88,0.058,0.062
4032,0.1739,0.887,0.055,0.058
4033,-0.9441,0.814,0.105,0.082
4034,-0.4926,0.832,0.102,0.066
4035,0.9541,0.655,0.106,0.239
4036,-0.7394,0.887,0.063,0.05
4037,-0.5994,0.863,0.095,0.042
4038,0.5829,0.812,0.081,0.107
4039,-0.9645,0.846,0.079,0.075
4040,-0.3612,0.865,0.079,0.056
4041,-0.8689,0.867,0.105,0.029
4042,0.9204,0.785,0.068,0.147
4043,-0.6808,0.917,0.05,0.033
4044,-0.6124,0.916,0.047,0.037
4045,-0.7783,0.858,0.142,0.0
4046,-0.128,0.9,0.055,0.045
4047,-0.7783,0.845,0.155,0.0
4048,-0.7998,0.828,0.172,0.0
4049,0.4329,0.843,0.083,0.074
4050,0.0,0.84,0.08,0.08
4051,-0.2809,0.823,0.102,0.075
4052,-0.6167,0.82,0.121,0.059
4053,0.7713,0.796,0.084,0.119
4054,-0.7096,0.829,0.14,0.03
4055,0.9167,0.809,0.057,0.134
4056,-0.128,0.815,0.097,0.088
4057,-0.7783,0.892,0.108,0.0
4058,0.4588,0.845,0.063,0.092
4059,-0.9507,0.933,0.051,0.016
4060,0.7063,0.836,0.063,0.101
4061,0.9212,0.745,0.082,0.173
4062,0.9633,0.83,0.036,0.134
4063,0.9808,0.76,0.051,0.189
4064,-0.9447,0.861,0.079,0.061
4065,0.9643,0.815,0.055,0.13
4066,0.4019,0.783,0.097,0.12
4067,0.9887,0.752,0.045,0.203
4068,0.9883,0.723,0.052,0.224
4069,0.9883,0.734,0.05,0.216
4070,-0.7783,0.858,0.142,0.0
4071,-0.7783,0.862,0.138,0.0
4072,-0.7783,0.836,0.164,0.0
4073,0.8602,0.793,0.073,0.135
4074,0.9949,0.745,0.042,0.214
4075,0.9692,0.816,0.085,0.1
4076,-0.25,0.867,0.075,0.058
4077,-0.9873,0.854,0.093,0.052
4078,0.9976,0.793,0.067,0.14
4079,-0.9499,0.849,0.135,0.016
4080,-0.9726,0.854,0.112,0.034
4081,0.948,0.814,0.048,0.138
4082,0.9142,0.823,0.069,0.108
4083,-0.9616,0.842,0.126,0.032
4084,0.9979,0.806,0.061,0.132
4085,0.998,0.804,0.061,0.135
4086,-0.9959,0.79,0.116,0.094
4087,-0.9791,0.856,0.107,0.037
4088,0.2824,0.835,0.077,0.087
4089,0.5204,0.879,0.056,0.065
4090,-0.3736,0.891,0.063,0.046
4091,0.9991,0.774,0.072,0.154
4092,-0.6705,0.856,0.114,0.03
4093,-0.163,0.864,0.075,0.062
4094,0.9981,0.803,0.061,0.136
4095,0.998,0.807,0.063,0.13
4096,0.9972,0.81,0.068,0.122
4097,0.9976,0.803,0.067,0.13
4098,-0.9979,0.799,0.118,0.082
4099,-0.128,0.9,0.049,0.051
4100,0.9983,0.807,0.061,0.132
4101,-0.1779,0.836,0.091,0.073
4102,-0.4939,0.86,0.092,0.048
4103,-0.7783,0.85,0.15,0.0
4104,-0.2263,0.869,0.074,0.058
4105,-0.9274,0.953,0.047,0.0
4106,0.9889,0.805,0.045,0.15
4107,0.991,0.806,0.042,0.152
4108,-0.9981,0.763,0.152,0.086
4109,0.9669,0.785,0.066,0.149
4110,-0.7506,0.734,0.16,0.106
4111,0.4767,0.844,0.077,0.078
4112,-0.4588,0.862,0.086,0.052
4113,-0.7783,0.96,0.04,0.0
4114,-0.6322,0.876,0.065,0.059
4115,-0.6249,0.872,0.098,0.03
4116,0.9984,0.809,0.059,0.131
4117,-0.9867,0.869,0.093,0.039
4118,-0.9958,0.808,0.105,0.087
4119,-0.9946,0.808,0.103,0.088
4120,0.998,0.805,0.065,0.13
4121,-0.4404,0.838,0.097,0.065
4122,-0.7219,0.85,0.12,0.03
4123,-0.9769,0.833,0.098,0.069
4124,-0.4588,0.764,0.153,0.083
4125,0.0295,0.835,0.077,0.087
4126,0.0295,0.82,0.084,0.096
4127,-0.7998,0.875,0.125,0.0
4128,0.3612,0.831,0.077,0.092
4129,0.9971,0.815,0.051,0.135
4130,-0.6705,0.887,0.09,0.023
4131,-0.9806,0.862,0.079,0.059
4132,0.706,0.783,0.1,0.117
4133,-0.7783,0.877,0.123,0.0
4134,-0.5994,0.888,0.084,0.028
4135,0.8879,0.817,0.062,0.121
4136,0.2108,0.845,0.076,0.079
4137,-0.5972,0.884,0.074,0.041
4138,-0.7783,0.86,0.14,0.0
4139,-0.3695,0.898,0.059,0.043
4140,-0.1759,0.842,0.076,0.082
4141,-0.4137,0.881,0.069,0.05
4142,-0.9628,0.806,0.161,0.033
4143,-0.995,0.809,0.103,0.088
4144,-0.9934,0.805,0.104,0.091
4145,-0.998,0.794,0.114,0.092
4146,-0.7783,0.827,0.173,0.0
4147,-0.9657,0.937,0.063,0.0
4148,0.7783,0.839,0.058,0.103
4149,-0.5023,0.824,0.092,0.084
4150,0.9253,0.867,0.04,0.093
4151,0.9484,0.825,0.05,0.126
4152,-0.7388,0.792,0.112,0.096
4153,-0.7388,0.785,0.116,0.099
4154,-0.6597,0.808,0.151,0.041
4155,0.9267,0.836,0.049,0.115
4156,-0.8049,0.851,0.092,0.058
4157,0.9177,0.847,0.058,0.094
4158,0.9526,0.806,0.074,0.12
4159,0.5859,0.843,0.057,0.1
4160,-0.6448,0.86,0.075,0.065
4161,-0.8074,0.978,0.022,0.0
4162,0.6808,0.87,0.063,0.067
4163,-0.7579,0.837,0.142,0.021
4164,0.9401,0.831,0.061,0.108
4165,0.3313,0.81,0.084,0.106
4166,0.6901,0.836,0.074,0.09
4167,-0.8422,0.858,0.077,0.065
4168,0.8225,0.839,0.063,0.098
4169,0.1128,0.8,0.11,0.09
4170,-0.8003,0.843,0.107,0.05
4171,-0.9062,0.856,0.081,0.063
4172,0.9186,0.858,0.047,0.095
4173,-0.5106,0.768,0.154,0.079
4174,0.7525,0.86,0.051,0.089
4175,-0.128,0.848,0.074,0.078
4176,0.4922,0.854,0.068,0.078
4177,-0.7184,0.725,0.228,0.047
4178,0.4981,0.862,0.065,0.073
4179,0.7105,0.881,0.046,0.072
4180,-0.4077,0.85,0.077,0.073
4181,0.7906,0.829,0.077,0.094
4182,-0.7964,0.832,0.168,0.0
4183,-0.6868,0.85,0.088,0.062
4184,-0.6969,0.812,0.154,0.035
4185,-0.7783,0.839,0.161,0.0
4186,0.296,0.856,0.071,0.073
4187,-0.1585,0.82,0.099,0.081
4188,0.0516,0.83,0.089,0.081
4189,-0.1027,0.864,0.073,0.063
4190,0.9949,0.785,0.08,0.135
4191,0.9329,0.792,0.062,0.146
4192,0.1531,0.865,0.065,0.07
4193,0.9926,0.795,0.041,0.163
4194,-0.9823,0.846,0.116,0.038
4195,-0.7579,0.907,0.081,0.012
4196,0.9703,0.727,0.066,0.207
4197,-0.9029,0.899,0.092,0.009
4198,0.9371,0.792,0.062,0.147
4199,-0.4939,0.768,0.165,0.067
4200,0.8225,0.792,0.076,0.133
4201,-0.7783,0.858,0.142,0.0
4202,0.9648,0.795,0.048,0.157
4203,-0.9669,0.853,0.083,0.064
4204,-0.9876,0.759,0.132,0.108
4205,0.9807,0.795,0.054,0.151
4206,0.25,0.799,0.09,0.111
4207,0.7964,0.812,0.06,0.128
4208,0.296,0.829,0.08,0.091
4209,0.2263,0.824,0.085,0.091
4210,0.2406,0.84,0.077,0.083
4211,-0.9985,0.757,0.155,0.088
4212,0.4574,0.812,0.08,0.108
4213,0.3612,0.832,0.079,0.089
4214,0.5718,0.787,0.099,0.114
4215,0.9954,0.815,0.06,0.125
4216,-0.7783,0.932,0.068,0.0
4217,-0.5204,0.869,0.08,0.051
4218,0.3612,0.848,0.078,0.074
4219,0.9531,0.83,0.065,0.105
4220,0.9153,0.828,0.076,0.095
4221,0.6902,0.839,0.067,0.094
4222,0.9509,0.79,0.068,0.143
4223,-0.9361,0.775,0.124,0.101
4224,-0.0772,0.827,0.1,0.074
4225,-0.4767,0.831,0.102,0.067
4226,0.489,0.821,0.089,0.09
4227,0.5624,0.855,0.069,0.076
4228,-0.7269,0.869,0.104,0.027
4229,0.9805,0.903,0.021,0.076
4230,0.2942,0.855,0.079,0.066
4231,-0.978,0.831,0.102,0.067
4232,-0.9829,0.825,0.108,0.067
4233,-0.5734,0.838,0.089,0.073
4234,0.6249,0.776,0.091,0.133
4235,0.431,0.775,0.113,0.112
4236,-0.7783,0.82,0.18,0.0
4237,0.3553,0.836,0.086,0.077
4238,-0.6575,0.835,0.093,0.072
4239,-0.7425,0.899,0.08,0.021
4240,0.9054,0.896,0.034,0.07
4241,0.5106,0.843,0.069,0.087
4242,0.7149,0.888,0.048,0.064
4243,0.8385,0.818,0.067,0.115
4244,-0.8402,0.784,0.216,0.0
4245,-0.7783,0.823,0.177,0.0
4246,0.802,0.809,0.083,0.108
4247,0.7914,0.787,0.088,0.125
4248,-0.973,0.781,0.15,0.069
4249,-0.9934,0.669,0.241,0.09
4250,-0.8531,0.814,0.122,0.064
4251,-0.9416,0.832,0.132,0.036
4252,-0.9794,0.825,0.119,0.056
4253,-0.9552,0.81,0.19,0.0
4254,0.6851,0.897,0.051,0.052
4255,-0.5106,0.787,0.124,0.088
4256,0.81,0.801,0.074,0.126
4257,0.7968,0.838,0.077,0.085
4258,0.9832,0.867,0.055,0.077
4259,-0.9924,0.829,0.104,0.067
4260,-0.5423,0.912,0.059,0.029
4261,-0.7059,0.864,0.108,0.027
4262,-0.9893,0.8,0.12,0.079
4263,-0.9239,0.828,0.131,0.041
4264,0.8008,0.835,0.072,0.093
4265,0.7127,0.787,0.08,0.133
4266,-0.7248,0.814,0.158,0.029
4267,0.8789,0.786,0.071,0.143
4268,-0.8316,0.835,0.138,0.026
4269,-0.9322,0.88,0.12,0.0
4270,0.9153,0.867,0.036,0.097
4271,0.1531,0.786,0.113,0.101
4272,-0.9719,0.73,0.252,0.018
4273,0.9551,0.709,0.071,0.22
4274,0.9769,0.799,0.069,0.132
4275,-0.9947,0.868,0.11,0.022
4276,-0.8918,0.831,0.108,0.061
4277,0.4574,0.846,0.069,0.085
4278,-0.6705,0.873,0.08,0.047
4279,0.2263,0.883,0.056,0.061
4280,-0.4215,0.835,0.105,0.06
4281,0.8553,0.839,0.051,0.11
4282,0.9398,0.829,0.044,0.127
4283,0.9917,0.801,0.052,0.147
4284,0.9894,0.866,0.04,0.094
4285,0.9609,0.871,0.031,0.098
4286,-0.6705,0.854,0.116,0.03
4287,0.9976,0.721,0.059,0.22
4288,-0.7783,0.901,0.099,0.0
4289,-0.7783,0.923,0.077,0.0
4290,-0.7783,0.833,0.167,0.0
4291,0.9996,0.819,0.051,0.13
4292,-0.9748,0.746,0.139,0.115
4293,0.999,0.76,0.047,0.193
4294,0.5262,0.802,0.092,0.106
4295,0.9996,0.712,0.061,0.228
4296,-0.998,0.726,0.176,0.098
4297,0.9904,0.874,0.044,0.082
4298,0.9917,0.767,0.104,0.129
4299,-0.5267,0.882,0.078,0.039
4300,-0.9274,0.797,0.203,0.0
4301,-0.5499,0.906,0.069,0.025
4302,-0.1779,0.886,0.063,0.051
4303,0.9706,0.81,0.084,0.107
4304,0.2732,0.862,0.068,0.069
4305,-0.9526,0.828,0.172,0.0
4306,-0.9723,0.833,0.167,0.0
4307,-0.7469,0.791,0.125,0.084
4308,0.9176,0.862,0.063,0.075
4309,-0.9723,0.858,0.142,0.0
4310,-0.7783,0.83,0.17,0.0
4311,-0.4939,0.847,0.101,0.053
4312,0.9823,0.788,0.089,0.123
4313,0.0386,0.815,0.097,0.088
4314,0.6817,0.875,0.057,0.068
4315,0.9584,0.777,0.079,0.143
4316,0.516,0.883,0.052,0.066
4317,-0.9538,0.781,0.19,0.029
4318,-0.7783,0.827,0.173,0.0
4319,-0.9928,0.826,0.132,0.042
4320,0.9972,0.793,0.069,0.139
4321,-0.7783,0.82,0.18,0.0
4322,-0.7783,0.858,0.142,0.0
4323,0.9415,0.846,0.068,0.086
4324,0.9735,0.827,0.034,0.138
4325,-0.4588,0.853,0.095,0.052
4326,0.9415,0.846,0.068,0.086
4327,0.9987,0.749,0.053,0.197
4328,0.9741,0.829,0.04,0.131
4329,0.9898,0.736,0.063,0.201
4330,0.824,0.869,0.053,0.078
4331,0.9849,0.776,0.087,0.136
4332,-0.9231,0.837,0.097,0.066
4333,0.9668,0.911,0.027,0.062
4334,-0.9569,0.871,0.084,0.045
4335,-0.8287,0.876,0.067,0.057
4336,-0.99,0.858,0.085,0.057
4337,-0.2885,0.85,0.091,0.058
4338,-0.2023,0.789,0.118,0.094
4339,-0.7783,0.874,0.126,0.0
4340,0.7382,0.796,0.095,0.11
4341,-0.8903,0.903,0.058,0.039
4342,0.4914,0.823,0.077,0.101
4343,0.9484,0.816,0.057,0.127
4344,-0.8225,0.91,0.09,0.0
4345,0.9364,0.82,0.074,0.105
4346,-0.9355,0.865,0.086,0.05
4347,0.8884,0.895,0.042,0.063
4348,0.2252,0.876,0.056,0.068
4349,-0.1779,0.788,0.11,0.101
4350,-0.7906,0.856,0.1,0.045
4351,-0.5372,0.897,0.069,0.034
4352,-0.3182,0.907,0.058,0.035
4353,0.9862,0.828,0.077,0.095
4354,-0.7783,0.823,0.177,0.0
4355,-0.913,0.79,0.155,0.055
4356,-0.6705,0.854,0.116,0.03
4357,-0.7783,0.892,0.108,0.0
4358,0.891,0.786,0.065,0.15
4359,0.9287,0.793,0.062,0.145
4360,-0.8402,0.833,0.167,0.0
4361,-0.296,0.832,0.096,0.072
4362,-0.6705,0.854,0.116,0.03
4363,-0.6705,0.881,0.095,0.025
4364,-0.7783,0.767,0.233,0.0
4365,-0.975,0.759,0.215,0.026
4366,-0.9872,0.746,0.254,0.0
4367,-0.6448,0.877,0.095,0.027
4368,-0.8875,0.906,0.073,0.02
4369,-0.6448,0.892,0.084,0.024
4370,0.9915,0.812,0.083,0.105
4371,0.9954,0.811,0.067,0.122
4372,0.9348,0.738,0.111,0.151
4373,0.994,0.797,0.059,0.144
4374,-0.8442,0.901,0.083,0.015
4375,-0.7783,0.958,0.042,0.0
4376,-0.7783,0.874,0.126,0.0
4377,-0.9912,0.82,0.106,0.073
4378,-0.7783,0.907,0.093,0.0
4379,-0.9454,0.889,0.096,0.014
4380,-0.5719,0.814,0.124,0.062
4381,0.9782,0.814,0.058,0.129
4382,-0.7783,0.925,0.075,0.0
4383,0.9729,0.81,0.071,0.119
4384,0.7845,0.908,0.038,0.054
4385,-0.9454,0.88,0.104,0.015
4386,0.7391,0.882,0.046,0.073
4387,0.9936,0.765,0.079,0.156
4388,0.9698,0.826,0.067,0.106
4389,0.98,0.815,0.044,0.14
4390,-0.0772,0.829,0.092,0.079
4391,-0.886,0.87,0.13,0.0
4392,0.9952,0.785,0.067,0.147
4393,-0.952,0.881,0.073,0.045
4394,-0.7783,0.937,0.062,0.0
4395,0.8683,0.871,0.051,0.078
4396,-0.9633,0.788,0.177,0.036
4397,0.9937,0.751,0.107,0.142
4398,0.9413,0.807,0.079,0.115
4399,-0.9709,0.763,0.188,0.049
4400,-0.126,0.789,0.109,0.103
4401,-0.9087,0.907,0.093,0.0
4402,-0.4215,0.851,0.095,0.054
4403,0.6818,0.888,0.047,0.066
4404,0.9766,0.822,0.065,0.113
4405,-0.9193,0.887,0.099,0.014
4406,-0.8957,0.884,0.096,0.02
4407,0.9919,0.847,0.042,0.11
4408,-0.0609,0.891,0.055,0.054
4409,0.8625,0.771,0.111,0.118
4410,-0.9443,0.779,0.121,0.1
4411,-0.6432,0.846,0.11,0.044
4412,-0.8134,0.929,0.051,0.02
4413,0.4569,0.873,0.059,0.068
4414,0.9631,0.8,0.063,0.137
4415,0.4767,0.824,0.079,0.098
4416,-0.8914,0.919,0.058,0.022
4417,0.9792,0.828,0.049,0.123
4418,0.9745,0.826,0.049,0.125
4419,-0.8184,0.912,0.054,0.034
4420,0.8126,0.839,0.077,0.084
4421,-0.886,0.874,0.126,0.0
4422,-0.6908,0.812,0.152,0.036
4423,-0.886,0.874,0.126,0.0
4424,-0.6908,0.801,0.16,0.038
4425,-0.9274,0.747,0.253,0.0
4426,-0.3612,0.804,0.122,0.074
4427,-0.7428,0.86,0.078,0.062
4428,-0.827,0.857,0.081,0.062
4429,-0.9989,0.774,0.132,0.094
4430,0.1494,0.699,0.163,0.138
4431,-0.9371,0.79,0.145,0.066
4432,-0.168,0.875,0.071,0.054
4433,0.296,0.893,0.053,0.054
4434,0.0516,0.859,0.074,0.067
4435,0.9871,0.837,0.052,0.111
4436,-0.7783,0.887,0.113,0.0
4437,-0.3695,0.845,0.09,0.065
4438,-0.8777,0.835,0.165,0.0
4439,-0.7783,0.902,0.098,0.0
4440,-0.3749,0.893,0.068,0.038
4441,0.9956,0.755,0.046,0.199
4442,-0.6486,0.866,0.104,0.03
4443,-0.7783,0.83,0.17,0.0
4444,0.9442,0.734,0.082,0.184
4445,-0.4939,0.865,0.089,0.046
4446,-0.7783,0.874,0.126,0.0
4447,-0.9274,0.868,0.132,0.0
4448,-0.7783,0.823,0.177,0.0
4449,-0.7783,0.842,0.158,0.0
4450,-0.995,0.747,0.144,0.108
4451,-0.6437,0.749,0.136,0.115
4452,-0.9153,0.814,0.169,0.017
4453,-0.7783,0.823,0.177,0.0
4454,-0.128,0.859,0.077,0.064
4455,-0.7783,0.842,0.158,0.0
4456,-0.7941,0.826,0.144,0.029
4457,-0.3795,0.819,0.088,0.092
4458,0.9828,0.839,0.051,0.11
4459,-0.8601,0.772,0.127,0.101
4460,-0.3716,0.86,0.076,0.063
4461,0.969,0.803,0.044,0.154
4462,-0.4767,0.783,0.153,0.064
4463,0.5994,0.764,0.092,0.143
4464,-0.6705,0.86,0.111,0.029
4465,-0.7783,0.901,0.099,0.0
4466,0.9892,0.828,0.051,0.121
4467,0.2023,0.825,0.083,0.091
4468,-0.5574,0.885,0.075,0.04
4469,-0.4404,0.89,0.065,0.045
4470,0.9932,0.766,0.058,0.176
4471,-0.7783,0.942,0.058,0.0
4472,0.1759,0.761,0.133,0.105
4473,-0.7031,0.875,0.066,0.06
4474,-0.7783,0.83,0.17,0.0
4475,-0.25,0.849,0.085,0.066
4476,-0.9716,0.788,0.195,0.017
4477,-0.3937,0.913,0.055,0.033
4478,0.9256,0.86,0.044,0.096
4479,0.9954,0.837,0.041,0.122
4480,0.8909,0.839,0.054,0.107
4481,0.5362,0.791,0.092,0.117
4482,0.4404,0.875,0.053,0.071
4483,0.9566,0.848,0.059,0.093
4484,-0.5106,0.819,0.12,0.061
4485,-0.4456,0.912,0.053,0.035
4486,-0.6249,0.796,0.156,0.048
4487,-0.765,0.886,0.086,0.028
4488,-0.9935,0.768,0.232,0.0
4489,-0.6908,0.846,0.124,0.03
4490,-0.8402,0.839,0.125,0.035
4491,-0.7783,0.845,0.155,0.0
4492,-0.629,0.858,0.095,0.048
4493,-0.1965,0.868,0.06,0.072
4494,-0.8517,0.891,0.096,0.013
4495,0.2045,0.869,0.054,0.077
4496,-0.34,0.847,0.089,0.065
4497,0.0688,0.827,0.085,0.087
4498,-0.8497,0.868,0.103,0.029
4499,-0.197,0.796,0.101,0.103
4500,0.9828,0.85,0.034,0.116
4501,-0.8567,0.844,0.103,0.053
4502,-0.7783,0.964,0.036,0.0
4503,-0.7579,0.832,0.146,0.022
4504,0.3612,0.933,0.029,0.037
4505,-0.8341,0.846,0.087,0.068
4506,0.6486,0.865,0.062,0.073
4507,-0.9952,0.916,0.064,0.02
4508,-0.7219,0.89,0.088,0.022
4509,0.9697,0.846,0.041,0.113
4510,-0.9913,0.767,0.147,0.086
4511,0.9471,0.708,0.131,0.161
4512,0.9642,0.72,0.118,0.162
4513,-0.9571,0.788,0.112,0.1
4514,-0.6705,0.861,0.11,0.029
4515,-0.1531,0.836,0.086,0.077
4516,-0.2732,0.874,0.071,0.054
4517,-0.7783,0.896,0.104,0.0
4518,-0.4883,0.786,0.13,0.084
4519,-0.9867,0.785,0.155,0.06
4520,0.9892,0.791,0.049,0.16
4521,-0.5423,0.836,0.102,0.062
4522,0.9403,0.8,0.068,0.133
4523,0.5719,0.851,0.057,0.092
4524,0.594,0.828,0.076,0.096
4525,0.1984,0.796,0.117,0.087
4526,0.8803,0.837,0.057,0.105
4527,0.5439,0.829,0.079,0.091
4528,0.8455,0.886,0.046,0.068
4529,0.4953,0.865,0.064,0.07
4530,-0.9834,0.774,0.207,0.018
4531,-0.9861,0.803,0.108,0.089
4532,0.1528,0.726,0.146,0.128
4533,0.9644,0.901,0.036,0.063
4534,0.9976,0.839,0.054,0.107
4535,-0.7783,0.858,0.142,0.0
4536,0.9477,0.871,0.032,0.097
4537,-0.7604,0.933,0.048,0.019
4538,0.9531,0.765,0.092,0.143
4539,-0.5719,0.842,0.107,0.05
4540,-0.4404,0.814,0.119,0.066
4541,-0.9679,0.839,0.091,0.07
4542,0.9589,0.847,0.032,0.121
4543,-0.2808,0.784,0.117,0.098
4544,-0.3612,0.804,0.122,0.074
4545,-0.9844,0.805,0.106,0.089
4546,0.9986,0.784,0.05,0.166
4547,-0.7783,0.842,0.158,0.0
4548,-0.5106,0.811,0.125,0.064
4549,0.9733,0.785,0.079,0.136
4550,0.0516,0.727,0.152,0.121
4551,-0.6597,0.811,0.149,0.041
4552,0.9872,0.858,0.042,0.1
4553,0.5484,0.854,0.061,0.085
4554,0.9195,0.84,0.048,0.111
4555,-0.5423,0.796,0.137,0.067
4556,-0.8429,0.849,0.151,0.0
4557,-0.9657,0.822,0.098,0.08
4558,-0.8531,0.863,0.105,0.032
4559,-0.7527,0.815,0.103,0.083
4560,-0.6705,0.866,0.106,0.028
4561,-0.504,0.829,0.104,0.067
4562,0.9983,0.748,0.102,0.15
4563,-0.6448,0.903,0.075,0.022
4564,0.9457,0.754,0.113,0.133
4565,-0.6705,0.866,0.106,0.028
4566,-0.0258,0.847,0.082,0.072
4567,-0.4588,0.839,0.104,0.057
4568,-0.7766,0.812,0.1,0.088
4569,0.9886,0.807,0.077,0.116
4570,-0.7783,0.827,0.173,0.0
4571,0.9771,0.807,0.086,0.107
4572,-0.9993,0.734,0.266,0.0
4573,-0.7,0.858,0.116,0.026
4574,-0.2951,0.873,0.075,0.051
4575,-0.9929,0.804,0.11,0.086
4576,0.9936,0.76,0.065,0.175
4577,0.5759,0.799,0.099,0.102
4578,-0.6486,0.815,0.12,0.065
4579,0.4767,0.792,0.098,0.11
4580,-0.4215,0.868,0.084,0.048
4581,0.9981,0.782,0.093,0.125
4582,-0.7783,0.848,0.152,0.0
4583,0.995,0.822,0.056,0.122
4584,-0.9756,0.853,0.084,0.063
4585,0.996,0.827,0.031,0.142
4586,-0.992,0.749,0.156,0.095
4587,-0.5423,0.817,0.133,0.05
4588,0.9988,0.749,0.082,0.168
4589,-0.5423,0.784,0.157,0.059
4590,-0.9747,0.838,0.089,0.073
4591,-0.7096,0.859,0.09,0.051
4592,-0.1027,0.86,0.073,0.067
4593,-0.8658,0.901,0.099,0.0
4594,0.9912,0.78,0.065,0.155
4595,0.9956,0.816,0.057,0.127
4596,0.9966,0.768,0.037,0.195
4597,-0.7783,0.918,0.082,0.0
4598,-0.9823,0.84,0.106,0.054
4599,-0.7783,0.896,0.104,0.0
4600,-0.9231,0.794,0.181,0.025
4601,-0.7506,0.881,0.098,0.021
4602,-0.5904,0.748,0.137,0.115
4603,0.9371,0.814,0.074,0.112
4604,-0.2598,0.804,0.118,0.078
4605,-0.765,0.877,0.067,0.056
4606,-0.7783,0.842,0.158,0.0
4607,-0.7783,0.82,0.18,0.0
4608,-0.3983,0.886,0.07,0.044
4609,-0.34,0.882,0.061,0.057
4610,-0.7783,0.918,0.082,0.0
4611,-0.7783,0.888,0.112,0.0
4612,0.5851,0.81,0.087,0.103
4613,0.5938,0.872,0.057,0.071
4614,0.2484,0.893,0.053,0.053
4615,-0.8124,0.859,0.083,0.057
4616,-0.2263,0.831,0.095,0.074
4617,0.9549,0.807,0.051,0.142
4618,-0.7783,0.827,0.173,0.0
4619,-0.7783,0.884,0.116,0.0
4620,0.7906,0.839,0.058,0.104
4621,0.204,0.839,0.084,0.077
4622,-0.7783,0.862,0.138,0.0
4623,0.3382,0.827,0.085,0.088
4624,-0.7783,0.823,0.177,0.0
4625,-0.9906,0.845,0.112,0.043
4626,-0.9938,0.832,0.126,0.042
4627,-0.9938,0.828,0.126,0.046
4628,-0.9959,0.818,0.132,0.049
4629,0.5499,0.861,0.059,0.08
4630,0.3731,0.809,0.088,0.103
4631,-0.9865,0.787,0.122,0.091
4632,0.5423,0.888,0.051,0.06
4633,0.9412,0.861,0.059,0.08
4634,-0.7783,0.848,0.152,0.0
4635,-0.9887,0.848,0.144,0.008
4636,-0.8402,0.886,0.088,0.026
4637,-0.7845,0.957,0.031,0.012
4638,0.7984,0.795,0.095,0.11
4639,0.8823,0.837,0.055,0.108
4640,-0.7783,0.901,0.099,0.0
4641,0.971,0.824,0.049,0.128
4642,0.7988,0.891,0.04,0.068
4643,-0.3736,0.893,0.062,0.045
4644,0.9686,0.803,0.067,0.13
4645,-0.9954,0.771,0.142,0.087
4646,0.8957,0.864,0.053,0.084
4647,-0.7184,0.865,0.112,0.023
4648,0.4005,0.869,0.064,0.067
4649,0.9042,0.865,0.051,0.084
4650,0.9264,0.799,0.091,0.11
4651,0.9087,0.792,0.096,0.112
4652,-1.0,0.768,0.183,0.05
4653,-0.7305,0.827,0.091,0.082
4654,-0.9477,0.843,0.148,0.01
4655,-0.7184,0.873,0.105,0.022
4656,0.875,0.899,0.032,0.068
4657,0.9759,0.823,0.051,0.127
4658,0.3753,0.845,0.073,0.083
4659,-0.8555,0.807,0.127,0.066
4660,-0.2921,0.836,0.086,0.078
4661,0.9749,0.8,0.092,0.108
4662,-0.9111,0.85,0.093,0.057
4663,-0.7783,0.839,0.161,0.0
4664,0.25,0.867,0.063,0.07
4665,0.9993,0.801,0.084,0.115
4666,-0.6894,0.833,0.097,0.07
4667,-0.27,0.849,0.076,0.075
4668,0.4404,0.868,0.066,0.066
4669,-0.8109,0.766,0.147,0.087
4670,0.9846,0.843,0.062,0.095
4671,-0.7783,0.87,0.13,0.0
4672,0.8689,0.875,0.042,0.083
4673,-0.7783,0.853,0.147,0.0
4674,-0.4824,0.8,0.113,0.087
4675,-0.7783,0.853,0.147,0.0
4676,-0.6705,0.871,0.102,0.027
4677,0.0,0.81,0.095,0.095
4678,-0.6369,0.867,0.092,0.041
4679,-0.968,0.785,0.147,0.069
4680,-0.2732,0.857,0.081,0.062
4681,0.5458,0.841,0.069,0.09
4682,-0.7783,0.83,0.17,0.0
4683,-0.9491,0.731,0.235,0.033
4684,0.5094,0.897,0.054,0.048
4685,0.9568,0.8,0.093,0.107
4686,-0.8614,0.738,0.213,0.049
4687,-0.9803,0.745,0.255,0.0
4688,-0.8074,0.844,0.099,0.057
4689,-0.8519,0.832,0.103,0.065
